Project,Client,Title,Duration
SOS1920-sep-fco,,Sesion 1,03:42:05
SOS1920-sep-fco,,,28:34:45
,,#1 Hacer tareas 5 Marzo,00:06:33
,,#3 Requisito 2,00:25:43
,,#4 Requisito 1 de por persona,00:27:18
,,#4 servidor goorm,02:23:48
,,#5 Realizar tracking de tiempo con Toggl,18:50:46
,,#7 Tareas grupales,03:00:57
,,#9 Haber realizado una API REST,950:24:47
,,d03,00:00:10
,,D03 FIXES,15:29:37
,,D03-Continue2,01:58:06
,,ISSUE 1 ,00:01:14
,,Issue 2,00:02:05
,,Postman+Api,03:20:09
,,probando,00:00:08
,,probando 2,00:00:04
,,Requisito 3,00:00:57
,,,03:44:29
